"","County","Precinct","NP Robert David Schieve","NP Julie A. Mead","NP Emily Larson","NP Roger J Reinert","NP Jesse Peterson"
"1","St. Louis","DULUTH P-1",1,6,"193","297",1
"2","St. Louis","DULUTH P-2",2,5,"197","262",1
"3","St. Louis","DULUTH P-3",5,5,"268","360",2
"4","St. Louis","DULUTH P-4",0,3,"150","382",4
"5","St. Louis","DULUTH P-5",1,0,"170","271",5
"6","St. Louis","DULUTH P-6",3,9,"219","490",2
"7","St. Louis","DULUTH P-7",4,4,"219","251",1
"8","St. Louis","DULUTH P-8",1,1,"305","364",1
"9","St. Louis","DULUTH P-9",1,1,"143","163",2
"10","St. Louis","DULUTH P-10",0,1,"24","15",0
"11","St. Louis","DULUTH P-11",5,9,"224","390",3
"12","St. Louis","DULUTH P-12",2,4,"203","137",1
"13","St. Louis","DULUTH P-13",0,3,"178","144",2
"14","St. Louis","DULUTH P-14",6,3,"96","85",1
"15","St. Louis","DULUTH P-15",3,4,"246","207",6
"16","St. Louis","DULUTH P-16",0,2,"169","265",5
"17","St. Louis","DULUTH P-17",1,4,"86","105",1
"18","St. Louis","DULUTH P-18",1,0,"140","183",0
"19","St. Louis","DULUTH P-19",2,4,"74","92",1
"20","St. Louis","DULUTH P-21",0,3,"160","196",2
"21","St. Louis","DULUTH P-22",2,5,"84","299",4
"22","St. Louis","DULUTH P-23",1,2,"76","411",0
"23","St. Louis","DULUTH P-24",2,10,"111","391",1
"24","St. Louis","DULUTH P-25",0,1,"86","352",1
"25","St. Louis","DULUTH P-26",4,5,"121","212",5
"26","St. Louis","DULUTH P-27",0,3,"50","102",4
"27","St. Louis","DULUTH P-28",1,4,"50","121",1
"28","St. Louis","DULUTH P-29",2,9,"134","353",6
"29","St. Louis","DULUTH P-30",2,5,"96","290",1
"30","St. Louis","DULUTH P-31",5,5,"56","170",1
"31","St. Louis","DULUTH P-32",5,4,"100","414",2
"32","St. Louis","DULUTH P-33",0,6,"57","192",2
"33","St. Louis","DULUTH P-34",1,3,"44","128",0
"34","St. Louis","DULUTH P-35",2,0,"31","129",2
"35","Candidate Totals:",NA,65,133,"4,560","8,223",71
